ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
GOOG,Google,"Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI - Fingerlakes1.com","Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI  Fingerlakes1.com","Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI - Fingerlakes1.com. Nvidia stock set for rebound as Meta, Amazon, and Google go all-in on AI  Fingerlakes1.com",AI,0.99999595,neutral,2025-05-05 00:37:18
GOOG,Google,"AI Stocks Face 'Show Me' Moment. Microsoft Cloud Growth Shines, Amazon Lags. - Investor's Business Daily","AI Stocks Face 'Show Me' Moment. Microsoft Cloud Growth Shines, Amazon Lags.  Investor's Business Daily","AI Stocks Face 'Show Me' Moment. Microsoft Cloud Growth Shines, Amazon Lags. - Investor's Business Daily. AI Stocks Face 'Show Me' Moment. Microsoft Cloud Growth Shines, Amazon Lags.  Investor's Business Daily",AI,0.91551995,neutral,2025-05-04 18:20:00
GOOG,Google,Claude AI-maker Anthropic to buy back employee shares: What it may mean for the AI startup backed by Goog - Times of India,Claude AI-maker Anthropic to buy back employee shares: What it may mean for the AI startup backed by Goog  Times of India,Claude AI-maker Anthropic to buy back employee shares: What it may mean for the AI startup backed by Goog - Times of India. Claude AI-maker Anthropic to buy back employee shares: What it may mean for the AI startup backed by Goog  Times of India,AI,-0.99998105,negative,2025-05-03 11:03:00
GOOG,Google,Magnificent Seven Stocks To Watch In May 2025 - Investor's Business Daily,Magnificent Seven Stocks To Watch In May 2025  Investor's Business Daily,Magnificent Seven Stocks To Watch In May 2025 - Investor's Business Daily. Magnificent Seven Stocks To Watch In May 2025  Investor's Business Daily,AI,-0.9999559,negative,2025-05-02 16:45:00
GOOG,Google,You can now use Google's ChatGPT competitor AI Mode - Yahoo Finance,You can now use Google's ChatGPT competitor AI Mode  Yahoo Finance,You can now use Google's ChatGPT competitor AI Mode - Yahoo Finance. You can now use Google's ChatGPT competitor AI Mode  Yahoo Finance,AI,-0.99997795,negative,2025-05-01 16:00:20
GOOG,Google,"After Earnings, Is Alphabet Stock a Buy, a Sell, or Fairly Valued? - Morningstar","After Earnings, Is Alphabet Stock a Buy, a Sell, or Fairly Valued?  Morningstar","After Earnings, Is Alphabet Stock a Buy, a Sell, or Fairly Valued? - Morningstar. After Earnings, Is Alphabet Stock a Buy, a Sell, or Fairly Valued?  Morningstar",AI,0.9601041,neutral,2025-05-01 14:16:00
GOOG,Google,"Google Aims For Gemini AI Deal With Apple This Year, Says Sundar Pichai Amid DOJ's Bid To Curb Search Monopoly - Benzinga","Google Aims For Gemini AI Deal With Apple This Year, Says Sundar Pichai Amid DOJ's Bid To Curb Search Monopoly  Benzinga","Google Aims For Gemini AI Deal With Apple This Year, Says Sundar Pichai Amid DOJ's Bid To Curb Search Monopoly - Benzinga. Google Aims For Gemini AI Deal With Apple This Year, Says Sundar Pichai Amid DOJ's Bid To Curb Search Monopoly  Benzinga",AI,-0.99998665,negative,2025-05-01 09:43:41
