ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
ORCL,Oracle,Oracle’s Stock Soars: What’s Driving the Surge? - TipRanks,Oracle’s Stock Soars: What’s Driving the Surge?  TipRanks,Oracle’s Stock Soars: What’s Driving the Surge? - TipRanks. Oracle’s Stock Soars: What’s Driving the Surge?  TipRanks,,0.9990194,neutral,2025-05-03 15:03:08
ORCL,Oracle,Can anyone replace Buffett? Shareholders ponder Berkshire’s equity portfolio once the Oracle of Omaha steps aside. - MarketWatch,Can anyone replace Buffett? Shareholders ponder Berkshire’s equity portfolio once the Oracle of Omaha steps aside.  MarketWatch,Can anyone replace Buffett? Shareholders ponder Berkshire’s equity portfolio once the Oracle of Omaha steps aside. - MarketWatch. Can anyone replace Buffett? Shareholders ponder Berkshire’s equity portfolio once the Oracle of Omaha steps aside.  MarketWatch,,-0.99998295,negative,2025-05-02 16:47:00
ORCL,Oracle,ORCL Stock Boosted by Acquisition Speculation - GuruFocus,ORCL Stock Boosted by Acquisition Speculation  GuruFocus,ORCL Stock Boosted by Acquisition Speculation - GuruFocus. ORCL Stock Boosted by Acquisition Speculation  GuruFocus,,0.99999714,neutral,2025-05-01 23:25:49
ORCL,Oracle,Why Oracle Stock Was on Fire Today - The Motley Fool,Why Oracle Stock Was on Fire Today  The Motley Fool,Why Oracle Stock Was on Fire Today - The Motley Fool. Why Oracle Stock Was on Fire Today  The Motley Fool,,-0.7911217,negative,2025-05-01 22:55:53
ORCL,Oracle,Why Oracle Stock Was on Fire Today - Yahoo Finance,Why Oracle Stock Was on Fire Today  Yahoo Finance,Why Oracle Stock Was on Fire Today - Yahoo Finance. Why Oracle Stock Was on Fire Today  Yahoo Finance,,-0.98303396,negative,2025-05-01 22:55:53
ORCL,Oracle,Oracle Corporation (ORCL): Jim Cramer Is Worried – “I Think That Could Trade Down” - Yahoo Finance,Oracle Corporation (ORCL): Jim Cramer Is Worried – “I Think That Could Trade Down”  Yahoo Finance,Oracle Corporation (ORCL): Jim Cramer Is Worried – “I Think That Could Trade Down” - Yahoo Finance. Oracle Corporation (ORCL): Jim Cramer Is Worried – “I Think That Could Trade Down”  Yahoo Finance,,0.99994075,positive,2025-05-01 21:07:50
ORCL,Oracle,SA Asks: What is the best-positioned hyperscaler stock? (GOOG:NASDAQ) - Seeking Alpha,SA Asks: What is the best-positioned hyperscaler stock? (GOOG:NASDAQ)  Seeking Alpha,SA Asks: What is the best-positioned hyperscaler stock? (GOOG:NASDAQ) - Seeking Alpha. SA Asks: What is the best-positioned hyperscaler stock? (GOOG:NASDAQ)  Seeking Alpha,,0.99999607,neutral,2025-05-01 20:30:00
