ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
NKLA,Nikola,EV Truck Maker Nikola Files for Chapter 11 Bankruptcy Protection - ESG News,EV Truck Maker Nikola Files for Chapter 11 Bankruptcy Protection  ESG News,EV Truck Maker Nikola Files for Chapter 11 Bankruptcy Protection - ESG News. EV Truck Maker Nikola Files for Chapter 11 Bankruptcy Protection  ESG News,ESG,-0.9998148,negative,2025-02-21 08:00:00
NKLA,Nikola,Equiti adds additional “green” energy stocks to its product offering on Earth Day - equiti.com,Equiti adds additional “green” energy stocks to its product offering on Earth Day  equiti.com,Equiti adds additional “green” energy stocks to its product offering on Earth Day - equiti.com. Equiti adds additional “green” energy stocks to its product offering on Earth Day  equiti.com,ESG,-0.9999883,negative,2021-04-22 07:00:00
NKLA,Nikola,"Watch CNBC's full interview with Jeff Ubben on Nikola, ESG and more - CNBC","Watch CNBC's full interview with Jeff Ubben on Nikola, ESG and more  CNBC","Watch CNBC's full interview with Jeff Ubben on Nikola, ESG and more - CNBC. Watch CNBC's full interview with Jeff Ubben on Nikola, ESG and more  CNBC",ESG,-0.99999726,negative,2021-04-22 07:00:00
NKLA,Nikola,Why ESG Investing Could Make You Rich - The Motley Fool,Why ESG Investing Could Make You Rich  The Motley Fool,Why ESG Investing Could Make You Rich - The Motley Fool. Why ESG Investing Could Make You Rich  The Motley Fool,ESG,-0.99992704,negative,2020-07-24 07:00:00
