ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
SAN,Santander,5 ESG and sustainability conferences to attend in 2025 - TechTarget,5 ESG and sustainability conferences to attend in 2025  TechTarget,5 ESG and sustainability conferences to attend in 2025 - TechTarget. 5 ESG and sustainability conferences to attend in 2025  TechTarget,ESG,-0.99999905,negative,2025-05-01 05:03:45
SAN,Santander,Tesla Removed From Widely-Tracked ESG Index - Investopedia,Tesla Removed From Widely-Tracked ESG Index  Investopedia,Tesla Removed From Widely-Tracked ESG Index - Investopedia. Tesla Removed From Widely-Tracked ESG Index  Investopedia,ESG,-0.9998983,negative,2022-05-18 07:00:00
SAN,Santander,Santander launches first Sustainability-Linked Supply Chain Finance in Portugal - santander.com,Santander launches first Sustainability-Linked Supply Chain Finance in Portugal  santander.com,Santander launches first Sustainability-Linked Supply Chain Finance in Portugal - santander.com. Santander launches first Sustainability-Linked Supply Chain Finance in Portugal  santander.com,ESG,-0.9980934,negative,2022-05-11 07:00:00
