ticker,company_name,title,summary,text,search_term,sentiment_score,sentiment_label,published
TXN,Texas Instruments,20 Best ESG Stocks to Invest in Today (2025 Guide) - theimpactinvestor.com,20 Best ESG Stocks to Invest in Today (2025 Guide)  theimpactinvestor.com,20 Best ESG Stocks to Invest in Today (2025 Guide) - theimpactinvestor.com. 20 Best ESG Stocks to Invest in Today (2025 Guide)  theimpactinvestor.com,ESG,-0.99984443,negative,2024-12-22 08:00:00
TXN,Texas Instruments,"Dow Jones Sustainability Indices Results Announced: Walmart, Disney In, Starbucks, UPS Out - ESG Today","Dow Jones Sustainability Indices Results Announced: Walmart, Disney In, Starbucks, UPS Out  ESG Today","Dow Jones Sustainability Indices Results Announced: Walmart, Disney In, Starbucks, UPS Out - ESG Today. Dow Jones Sustainability Indices Results Announced: Walmart, Disney In, Starbucks, UPS Out  ESG Today",ESG,-0.99998415,negative,2022-12-12 08:00:00
TXN,Texas Instruments,"ESG Investing Remains Popular Despite Bear Market In Stocks, Political Headwinds - Investor's Business Daily","ESG Investing Remains Popular Despite Bear Market In Stocks, Political Headwinds  Investor's Business Daily","ESG Investing Remains Popular Despite Bear Market In Stocks, Political Headwinds - Investor's Business Daily. ESG Investing Remains Popular Despite Bear Market In Stocks, Political Headwinds  Investor's Business Daily",ESG,0.97009414,positive,2022-11-11 08:00:00
TXN,Texas Instruments,Apple Earns ESG Cred With Bold Environmental Goals - Investor's Business Daily,Apple Earns ESG Cred With Bold Environmental Goals  Investor's Business Daily,Apple Earns ESG Cred With Bold Environmental Goals - Investor's Business Daily. Apple Earns ESG Cred With Bold Environmental Goals  Investor's Business Daily,ESG,-0.9994407,negative,2022-10-24 07:00:00
TXN,Texas Instruments,IBD's 100 Best ESG Companies For 2022 - Investor's Business Daily,IBD's 100 Best ESG Companies For 2022  Investor's Business Daily,IBD's 100 Best ESG Companies For 2022 - Investor's Business Daily. IBD's 100 Best ESG Companies For 2022  Investor's Business Daily,ESG,-0.99993575,negative,2022-10-24 07:00:00
TXN,Texas Instruments,Here's Our List Of The 100 Best ESG Companies 2021 - Investor's Business Daily,Here's Our List Of The 100 Best ESG Companies 2021  Investor's Business Daily,Here's Our List Of The 100 Best ESG Companies 2021 - Investor's Business Daily. Here's Our List Of The 100 Best ESG Companies 2021  Investor's Business Daily,ESG,-0.999997,negative,2022-10-17 07:00:00
TXN,Texas Instruments,Best ESG Stocks: 11 Best Stocks for ESG Investing - MarketBeat,Best ESG Stocks: 11 Best Stocks for ESG Investing  MarketBeat,Best ESG Stocks: 11 Best Stocks for ESG Investing - MarketBeat. Best ESG Stocks: 11 Best Stocks for ESG Investing  MarketBeat,ESG,0.99509287,neutral,2022-01-26 22:21:51
